fecha,variacion_ipc,valor_uf,usdclp,tpm,eurclp
2001-09-04,0.7,16010.61,661.97,6.5,603.33
2001-09-05,0.7,16009.58,663.47,6.5,587.97
2001-09-06,0.7,16008.55,665.32,6.5,589.72
2001-09-07,0.7,16007.51,666.58,6.5,597.24
2001-09-08,0.7,16006.48,666.58,6.5,597.24
2001-09-09,0.7,16005.44,666.58,6.5,597.24
2001-09-10,0.7,16009.69,665.89,6.5,603.71
2001-09-11,0.7,16013.94,667.34,6.5,600.29
2001-09-12,0.7,16018.2,685.87,6.5,627.22
2001-09-13,0.7,16022.45,678.76,6.5,615.54
2001-09-14,0.7,16026.71,679.41,6.5,619.39
2001-09-15,0.7,16030.97,679.41,6.5,619.39
2001-09-16,0.7,16035.23,679.41,6.5,619.39
2001-09-17,0.7,16039.49,689.01,6.5,634.56
2001-09-18,0.7,16043.75,689.01,6.5,634.56
2001-09-19,0.7,16048.01,689.01,6.5,634.56
2001-09-20,0.7,16052.27,693.92,6.5,641.27
2001-09-21,0.7,16056.54,695.21,6.5,644.31
2001-09-22,0.7,16060.8,695.21,6.5,644.31
2001-09-23,0.7,16065.07,695.21,6.5,644.31
2001-09-24,0.7,16069.33,694.98,6.5,634.4
2001-09-25,0.7,16073.6,691.0,6.5,633.02
2001-09-26,0.7,16077.87,691.26,6.5,637.81
2001-09-27,0.7,16082.14,694.89,6.5,641.58
2001-09-28,0.7,16086.42,696.23,6.5,638.74
2001-09-29,0.7,16090.69,696.23,6.5,638.74
2001-09-30,0.7,16094.96,696.23,6.5,638.74
2001-10-01,0.1,16099.24,695.02,6.5,632.53
2001-10-02,0.1,16103.52,695.78,6.5,638.1
2001-10-03,0.1,16107.79,695.87,6.5,638.94
2001-10-04,0.1,16112.07,697.62,6.5,636.86
2001-10-05,0.1,16116.35,701.73,6.5,642.85
2001-10-06,0.1,16120.63,701.73,6.5,642.85
2001-10-07,0.1,16124.92,701.73,6.5,642.85
2001-10-08,0.1,16129.2,708.19,6.5,649.83
2001-10-09,0.1,16133.48,713.55,6.5,656.38
2001-10-10,0.1,16137.11,713.88,6.5,652.36
2001-10-11,0.1,16140.74,714.99,6.5,651.06
2001-10-12,0.1,16144.37,706.11,6.5,637.34
2001-10-13,0.1,16148.01,706.11,6.5,637.34
2001-10-14,0.1,16151.64,706.11,6.5,637.34
2001-10-15,0.1,16155.28,706.11,6.5,637.34
2001-10-16,0.1,16158.91,707.32,6.5,643.9
2001-10-17,0.1,16162.55,707.69,6.5,643.06
2001-10-18,0.1,16166.19,703.12,6.5,633.84
2001-10-19,0.1,16169.82,708.22,6.5,640.52
